2022-01-12 14:34:13.5710||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 14:35:32.5882||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 14:36:45.5201||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 14:38:06.8052||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 15:12:56.6027||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 15:16:40.8765||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 15:18:29.4887||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 15:18:29.5637||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:21.8911||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 15:19:21.9518||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:24.0739||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:25.9773||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:28.3596||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:31.0408||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:33.0319||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:35.0980||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:36.9088||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:38.6243||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:40.3634||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:42.0984||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:43.9379||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:45.7248||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:19:47.4104||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:21:00.5632||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 15:21:00.6290||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:25:50.1927||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 15:25:50.2600||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:27:00.2366||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 15:27:00.3000||ERROR|WebApiProject.Startup|error |url: |action: 
2022-01-12 15:28:21.0329||INFO|WebApiProject.Startup|we love u |url: |action: 
2022-01-12 15:28:21.0936||ERROR|WebApiProject.Startup|error |url: |action: 
